概率,半径 [mm],直径 [mm],中间 x [体素],中间 y [体素],中间 z [体素],体积 [mm³],体素,表面 [mm²],分类,间隙 [mm],紧密度,球度,位置 x [体素],位置 y [体素],位置 z [体素],投影尺寸 x [mm],投影尺寸 y [mm],投影尺寸 z [mm],主分量分析（PCA）偏差 1 [mm],主分量分析（PCA）偏差 2 [mm],主分量分析（PCA）偏差 3 [mm],PCA 最大偏差比例 [%],PCA 最小偏差比例 [%],最小灰度值,最大灰度值,平均灰度值,灰度值偏差,标签,最小厚度 [mm],最大厚度 [mm],平均厚度 [mm],相对直径,切面 [mm²],最小边距离（内部） [mm],最小边距离（外部） [mm],最大边距离（剪切） [mm],投影区域（yz 平面） [mm²],投影区域（xz 平面） [mm²],投影区域（xy 平面） [mm²],说明,图像,聚焦图像,捕获,公差状态
263.17,6.384,12.767,823,511,72,66.99,39515,180.06,,-16.919,0.06,0.44,833,494,77,11.209,9.181,3.577,3.148,1.067,0.776,49.308,12.150,8012,28251,18932,6481,3656,,,,,,,,,20.83,26.16,35.64,,关,关,0,无公差
256.33,3.819,7.638,912,1246,63,14.00,8257,66.43,,-1.572,0.06,0.42,911,1241,62,7.631,4.293,1.431,1.381,0.874,0.335,36.156,8.785,7504,28251,20168,6397,1864,,,,,,,,,4.49,6.78,20.35,,关,关,0,无公差
241.65,2.343,4.686,203,637,421,6.10,3600,31.96,,-0.208,0.11,0.51,203,634,423,4.293,3.577,1.073,0.896,0.663,0.264,38.251,11.277,7908,28251,19984,6211,7390,,,,,,,,,3.03,3.18,9.61,,关,关,0,无公差
232.67,1.935,3.870,337,1104,416,15.13,8924,44.82,,0.538,0.50,0.66,333,1105,422,3.577,3.100,2.743,0.807,0.700,0.610,41.732,31.532,8688,28250,18291,6094,9770,,,,,,,,,6.37,7.62,8.55,,关,关,0,无公差
220.82,3.323,6.647,762,222,63,6.92,4083,41.74,,-0.779,0.05,0.42,757,228,62,5.485,5.247,1.192,1.213,0.718,0.278,36.495,8.371,9226,28250,22014,5937,500,,,,,,,,,3.57,4.49,11.79,,关,关,0,无公差
217.43,1.973,3.945,345,1045,421,5.09,3000,29.37,,-0.752,0.16,0.49,347,1049,423,3.339,3.756,1.550,0.772,0.667,0.294,39.118,14.889,9104,28250,20590,5891,6976,,,,,,,,,3.31,2.83,8.07,,关,关,0,无公差
206.61,45.010,90.021,605,695,121,1115.81,658154,3436.45,,-45.148,0.00,0.15,804,824,67,81.083,45.550,22.775,25.715,4.480,1.252,57.131,2.781,4524,28251,20773,5743,4227,,,,,,,,,337.17,675.47,353.58,,关,关,0,无公差
204.70,2.160,4.321,1014,1194,62,4.67,2757,26.50,,-0.532,0.11,0.51,1016,1195,62,4.293,2.504,1.073,0.911,0.513,0.252,42.150,11.677,7517,28251,20799,5716,12107,,,,,,,,,1.93,3.23,8.09,,关,关,0,无公差
203.07,1.408,2.817,196,896,422,4.65,2744,21.64,,1.479,0.40,0.62,194,898,423,2.623,2.623,1.312,0.623,0.538,0.327,44.252,23.184,9526,28244,19363,5693,12455,,,,,,,,,2.66,2.87,5.29,,关,关,0,无公差
195.90,4.992,9.983,742,416,72,43.37,25579,139.20,,-12.438,0.08,0.43,750,415,76,9.301,4.889,5.247,2.018,0.939,0.714,40.430,14.306,10435,28251,20789,5592,2621,,,,,,,,,15.09,24.27,21.98,,关,关,0,无公差
186.89,2.121,4.243,873,154,64,8.28,4882,36.31,,-0.463,0.21,0.54,868,152,62,4.293,3.100,1.669,0.937,0.648,0.366,44.168,17.271,9583,28251,20983,5462,103,,,,,,,,,3.87,5.18,8.36,,关,关,0,无公差
182.54,1.434,2.868,1200,896,64,3.65,2154,19.45,,0.050,0.30,0.59,1199,896,62,2.623,2.385,1.550,0.605,0.452,0.340,42.166,23.734,9115,28246,20940,5398,12025,,,,,,,,,2.52,2.66,4.71,,关,关,0,无公差
180.82,1.874,3.748,1056,730,68,8.22,4847,33.75,,0.621,0.30,0.58,1063,730,65,3.577,2.862,2.504,0.759,0.591,0.460,40.508,24.538,11460,28251,20573,5373,8901,,,,,,,,,4.49,5.25,6.74,,关,关,0,无公差
