P,S
4.99E+02,4.96E+02
8.44E+02,1.18E+03
7.96E+02,1.08E+03
9.60E+02,1.39E+03
1.09E+03,1.23E+03
1.18E+03,1.29E+03
1.26E+03,1.38E+03
1.33E+03,1.45E+03
1.34E+03,1.39E+03
1.42E+03,1.60E+03
1.30E+03,2.03E+03
1.37E+03,1.50E+03
1.18E+03,1.32E+03
1.28E+03,2.03E+03
9.19E+02,9.54E+02
1.05E+03,1.23E+03
1.40E+03,1.50E+03
1.24E+03,1.35E+03
1.34E+03,1.52E+03
1.20E+03,1.80E+03
9.87E+02,1.11E+03
1.15E+03,1.42E+03
9.00E+02,1.10E+03
1.18E+03,1.56E+03
8.52E+02,1.18E+03
4.99E+02,4.96E+02
9.55E+02,1.35E+03
8.08E+02,1.13E+03
1.16E+03,1.28E+03
1.09E+03,1.20E+03
1.31E+03,1.42E+03
1.26E+03,1.39E+03
1.40E+03,1.52E+03
1.36E+03,1.47E+03
1.36E+03,1.48E+03
1.30E+03,1.42E+03
1.28E+03,1.40E+03
1.20E+03,1.31E+03
1.06E+03,1.16E+03
9.20E+02,1.04E+03
1.20E+03,1.32E+03
1.00E+03,1.13E+03
1.15E+03,1.38E+03
9.19E+02,1.19E+03
1.22E+03,1.33E+03
1.43E+03,2.00E+03
1.18E+03,1.85E+03
1.39E+03,1.49E+03
7.96E+02,9.21E+02
9.55E+02,1.34E+03
4.99E+02,5.69E+02
8.35E+02,9.79E+02
8.56E+02,9.91E+02
9.79E+02,1.10E+03
1.11E+03,1.23E+03
1.18E+03,1.30E+03
1.30E+03,1.48E+03
1.38E+03,1.61E+03
1.35E+03,1.48E+03
1.42E+03,1.54E+03
1.34E+03,1.45E+03
1.39E+03,1.51E+03
1.14E+03,1.27E+03
1.22E+03,1.35E+03
1.35E+03,1.45E+03
1.18E+03,1.31E+03
1.39E+03,1.51E+03
1.24E+03,1.36E+03
9.04E+02,1.08E+03
1.26E+03,1.61E+03
1.00E+03,1.19E+03
1.13E+03,1.53E+03
9.60E+02,1.39E+03
8.09E+02,1.12E+03
8.35E+02,9.79E+02
4.99E+02,5.69E+02
9.64E+02,1.08E+03
8.56E+02,9.89E+02
1.15E+03,1.27E+03
1.09E+03,1.21E+03
1.36E+03,1.47E+03
1.30E+03,1.41E+03
1.40E+03,1.53E+03
1.35E+03,1.48E+03
1.40E+03,1.63E+03
1.32E+03,1.45E+03
1.23E+03,1.35E+03
1.14E+03,1.26E+03
1.14E+03,1.26E+03
9.12E+02,1.09E+03
1.19E+03,2.03E+03
1.00E+03,1.46E+03
1.18E+03,1.30E+03
1.50E+03,1.58E+03
1.24E+03,1.37E+03
1.33E+03,2.02E+03
1.09E+03,1.59E+03
1.16E+03,1.29E+03
8.56E+02,1.03E+03
9.64E+02,1.09E+03
4.99E+02,5.69E+02
8.35E+02,9.67E+02
8.00E+02,9.11E+02
9.56E+02,1.46E+03
1.09E+03,1.21E+03
1.18E+03,1.29E+03
1.26E+03,1.37E+03
1.33E+03,1.45E+03
1.38E+03,1.50E+03
1.44E+03,1.55E+03
1.32E+03,1.45E+03
1.38E+03,1.51E+03
1.22E+03,1.35E+03
1.16E+03,1.29E+03
1.36E+03,1.49E+03
1.31E+03,1.43E+03
8.96E+02,1.08E+03
1.21E+03,1.83E+03
1.12E+03,1.24E+03
1.02E+03,1.30E+03
1.18E+03,1.29E+03
1.09E+03,1.20E+03
9.80E+02,1.10E+03
8.56E+02,9.89E+02
8.36E+02,9.64E+02
4.99E+02,5.69E+02
9.64E+02,1.44E+03
8.20E+02,1.18E+03
1.16E+03,1.29E+03
1.10E+03,1.32E+03
1.32E+03,1.43E+03
1.26E+03,1.37E+03
1.44E+03,1.56E+03
1.38E+03,1.49E+03
1.40E+03,1.50E+03
1.32E+03,1.44E+03
9.84E+02,1.10E+03
8.87E+02,1.07E+03
1.17E+03,1.29E+03
1.11E+03,1.23E+03
1.17E+03,1.29E+03
1.53E+03,1.87E+03
1.34E+03,1.54E+03
1.24E+03,1.34E+03
1.26E+03,1.38E+03
1.31E+03,1.42E+03
1.11E+03,1.23E+03
1.15E+03,1.27E+03
7.96E+02,9.27E+02
9.64E+02,1.44E+03
4.99E+02,5.69E+02
8.43E+02,9.91E+02
8.60E+02,1.10E+03
9.88E+02,1.55E+03
1.09E+03,1.21E+03
1.17E+03,1.30E+03
1.33E+03,1.44E+03
1.38E+03,1.51E+03
1.38E+03,1.49E+03
1.44E+03,1.55E+03
1.16E+03,1.29E+03
1.21E+03,1.34E+03
1.31E+03,1.43E+03
1.36E+03,1.48E+03
9.88E+02,1.10E+03
1.14E+03,1.40E+03
1.19E+03,1.66E+03
9.04E+02,1.12E+03
1.33E+03,1.45E+03
1.26E+03,1.37E+03
1.18E+03,1.30E+03
1.09E+03,1.21E+03
9.56E+02,1.46E+03
8.20E+02,1.18E+03
8.43E+02,9.91E+02
4.99E+02,5.69E+02
9.76E+02,1.10E+03
8.74E+02,9.99E+02
1.18E+03,1.31E+03
1.10E+03,1.23E+03
1.40E+03,1.52E+03
1.33E+03,1.45E+03
1.46E+03,1.57E+03
1.39E+03,1.50E+03
8.95E+02,9.23E+02
9.76E+02,1.10E+03
1.11E+03,1.23E+03
1.18E+03,1.30E+03
1.24E+03,2.03E+03
1.38E+03,1.61E+03
1.40E+03,1.51E+03
1.18E+03,1.29E+03
1.35E+03,1.48E+03
1.40E+03,1.52E+03
1.30E+03,1.47E+03
1.36E+03,1.47E+03
1.09E+03,1.21E+03
1.16E+03,1.29E+03
8.60E+02,1.08E+03
9.76E+02,1.10E+03
4.99E+02,5.69E+02
8.68E+02,1.32E+03
7.92E+02,1.16E+03
9.80E+02,2.03E+03
1.15E+03,1.26E+03
1.22E+03,1.35E+03
1.32E+03,1.43E+03
1.39E+03,1.51E+03
1.19E+03,1.31E+03
1.33E+03,1.45E+03
1.23E+03,1.35E+03
1.39E+03,1.93E+03
1.13E+03,1.26E+03
1.02E+03,1.58E+03
1.21E+03,1.34E+03
9.24E+02,1.04E+03
1.42E+03,1.60E+03
1.36E+03,1.47E+03
1.39E+03,1.61E+03
1.30E+03,1.41E+03
1.18E+03,1.29E+03
1.10E+03,1.31E+03
9.92E+02,1.10E+03
8.75E+02,1.08E+03
8.64E+02,1.28E+03
4.99E+02,4.96E+02
9.76E+02,1.12E+03
8.25E+02,1.23E+03
1.25E+03,1.95E+03
1.15E+03,1.27E+03
1.40E+03,1.58E+03
1.35E+03,1.52E+03
9.04E+02,1.11E+03
1.13E+03,1.23E+03
9.91E+02,1.19E+03
1.20E+03,1.25E+03
1.36E+03,1.51E+03
1.28E+03,2.02E+03
1.43E+03,1.58E+03
1.22E+03,1.61E+03
1.30E+03,1.34E+03
1.36E+03,1.47E+03
1.36E+03,1.48E+03
1.40E+03,1.52E+03
1.26E+03,1.37E+03
1.32E+03,1.43E+03
1.09E+03,1.21E+03
1.17E+03,1.30E+03
7.92E+02,1.15E+03
9.79E+02,1.19E+03
4.99E+02,5.69E+02
8.84E+02,1.25E+03
9.20E+02,1.13E+03
1.04E+03,1.16E+03
1.18E+03,1.29E+03
1.27E+03,1.37E+03
1.24E+03,1.36E+03
1.38E+03,1.49E+03
1.18E+03,1.30E+03
1.34E+03,1.85E+03
1.19E+03,1.29E+03
9.24E+02,1.32E+03
1.14E+03,1.26E+03
1.00E+03,2.03E+03
1.37E+03,1.49E+03
1.30E+03,1.42E+03
1.42E+03,1.54E+03
1.35E+03,1.48E+03
1.33E+03,1.45E+03
1.26E+03,1.39E+03
1.17E+03,1.30E+03
1.10E+03,1.23E+03
9.80E+02,2.03E+03
8.28E+02,1.24E+03
8.84E+02,1.27E+03
4.99E+02,4.96E+02
1.07E+03,1.19E+03
9.12E+02,9.53E+02
1.28E+03,1.39E+03
1.20E+03,1.32E+03
1.00E+03,1.13E+03
1.18E+03,2.03E+03
9.00E+02,1.18E+03
1.13E+03,1.26E+03
1.40E+03,1.50E+03
1.24E+03,1.94E+03
1.36E+03,1.90E+03
1.27E+03,1.39E+03
1.18E+03,1.31E+03
1.27E+03,1.40E+03
1.36E+03,1.45E+03
1.40E+03,1.63E+03
1.38E+03,1.50E+03
1.46E+03,1.56E+03
1.32E+03,1.44E+03
1.40E+03,1.53E+03
1.15E+03,1.26E+03
1.25E+03,1.96E+03
9.23E+02,1.13E+03
1.07E+03,1.20E+03
4.99E+02,4.96E+02
9.15E+02,1.02E+03
8.56E+02,1.13E+03
1.05E+03,1.17E+03
1.40E+03,1.52E+03
1.45E+03,2.03E+03
1.28E+03,2.03E+03
1.35E+03,1.46E+03
1.26E+03,2.03E+03
9.72E+02,1.10E+03
1.07E+03,2.03E+03
1.19E+03,1.78E+03
1.28E+03,2.03E+03
1.20E+03,1.31E+03
1.41E+03,1.52E+03
1.32E+03,1.45E+03
1.44E+03,1.56E+03
1.38E+03,1.49E+03
1.38E+03,1.50E+03
1.33E+03,1.45E+03
1.22E+03,1.35E+03
1.16E+03,2.03E+03
1.05E+03,1.17E+03
9.12E+02,9.53E+02
9.29E+02,1.02E+03
4.99E+02,4.96E+02
1.03E+03,1.29E+03
8.60E+02,1.22E+03
1.17E+03,1.29E+03
1.25E+03,1.36E+03
9.60E+02,9.87E+02
1.07E+03,1.18E+03
1.45E+03,2.03E+03
1.31E+03,1.92E+03
1.36E+03,1.53E+03
1.40E+03,1.51E+03
9.16E+02,9.53E+02
1.06E+03,1.16E+03
1.14E+03,1.28E+03
1.23E+03,1.35E+03
1.32E+03,1.46E+03
1.40E+03,1.50E+03
1.38E+03,1.49E+03
1.46E+03,1.57E+03
1.32E+03,1.43E+03
1.41E+03,1.58E+03
1.18E+03,1.29E+03
1.28E+03,1.39E+03
8.56E+02,1.13E+03
1.03E+03,1.29E+03
4.99E+02,5.69E+02
9.20E+02,1.16E+03
1.46E+03,1.56E+03
1.39E+03,1.51E+03
1.34E+03,1.59E+03
1.28E+03,1.39E+03
1.16E+03,1.28E+03
1.10E+03,1.74E+03
9.52E+02,1.13E+03
1.26E+03,1.41E+03
1.05E+03,1.23E+03
9.20E+02,1.04E+03
1.22E+03,1.36E+03
1.14E+03,1.26E+03
1.39E+03,1.51E+03
1.32E+03,1.44E+03
1.44E+03,1.55E+03
1.39E+03,1.50E+03
1.39E+03,1.50E+03
1.35E+03,1.53E+03
1.28E+03,1.37E+03
1.20E+03,1.32E+03
1.05E+03,1.17E+03
8.60E+02,1.22E+03
9.16E+02,1.15E+03
4.99E+02,4.96E+02
1.25E+03,2.03E+03
1.17E+03,1.30E+03
1.08E+03,1.20E+03
9.71E+02,1.10E+03
1.39E+03,1.49E+03
1.47E+03,1.90E+03
1.27E+03,1.40E+03
1.46E+03,1.61E+03
1.40E+03,1.82E+03
1.20E+03,1.32E+03
1.34E+03,1.45E+03
1.14E+03,1.26E+03
1.22E+03,1.34E+03
9.80E+02,1.10E+03
1.16E+03,1.29E+03
8.92E+02,1.10E+03
1.18E+03,2.02E+03
9.04E+02,1.02E+03
1.24E+03,1.36E+03
9.96E+02,2.03E+03
1.40E+03,1.52E+03
1.17E+03,1.29E+03
1.46E+03,1.57E+03
1.25E+03,1.85E+03
4.99E+02,4.96E+02
8.04E+02,9.31E+02
8.03E+02,1.12E+03
9.32E+02,1.29E+03
1.48E+03,1.60E+03
1.53E+03,1.65E+03
1.54E+03,1.66E+03
1.45E+03,1.56E+03
1.24E+03,1.35E+03
1.00E+03,1.13E+03
1.18E+03,1.32E+03
9.08E+02,9.54E+02
1.16E+03,1.30E+03
8.87E+02,1.07E+03
1.21E+03,1.34E+03
9.76E+02,1.11E+03
1.33E+03,1.45E+03
1.13E+03,1.23E+03
1.38E+03,1.49E+03
1.18E+03,1.30E+03
1.46E+03,2.03E+03
1.25E+03,1.36E+03
1.39E+03,1.51E+03
1.17E+03,1.30E+03
8.04E+02,9.24E+02
4.99E+02,5.69E+02
9.32E+02,1.05E+03
8.00E+02,1.09E+03
1.44E+03,1.54E+03
1.63E+03,2.03E+03
1.49E+03,1.61E+03
1.48E+03,1.59E+03
1.34E+03,1.52E+03
1.14E+03,1.38E+03
1.39E+03,1.52E+03
1.19E+03,2.03E+03
1.36E+03,1.49E+03
1.17E+03,1.30E+03
1.31E+03,1.43E+03
1.11E+03,1.23E+03
1.23E+03,1.35E+03
9.91E+02,1.10E+03
1.18E+03,2.03E+03
9.00E+02,1.13E+03
1.28E+03,2.03E+03
9.60E+02,9.91E+02
1.34E+03,1.61E+03
1.08E+03,1.20E+03
8.08E+02,9.35E+02
9.35E+02,1.05E+03
4.99E+02,4.96E+02
8.09E+02,9.35E+02
1.52E+03,1.64E+03
1.47E+03,1.60E+03
1.50E+03,1.61E+03
1.49E+03,1.60E+03
1.20E+03,2.03E+03
9.19E+02,1.19E+03
1.24E+03,1.37E+03
1.00E+03,1.46E+03
1.31E+03,1.43E+03
1.11E+03,1.23E+03
1.36E+03,1.48E+03
1.18E+03,1.30E+03
1.38E+03,1.93E+03
1.20E+03,1.37E+03
1.34E+03,1.85E+03
1.13E+03,1.26E+03
1.34E+03,1.46E+03
1.07E+03,1.18E+03
1.28E+03,1.37E+03
9.71E+02,1.10E+03
9.27E+02,1.30E+03
8.00E+02,1.09E+03
8.08E+02,9.35E+02
4.99E+02,4.96E+02
1.48E+03,1.59E+03
1.52E+03,1.71E+03
1.44E+03,1.56E+03
1.53E+03,1.64E+03
9.87E+02,1.11E+03
1.22E+03,1.33E+03
9.04E+02,1.15E+03
1.18E+03,1.30E+03
8.99E+02,1.08E+03
1.17E+03,1.29E+03
9.88E+02,1.10E+03
1.23E+03,1.35E+03
1.13E+03,1.26E+03
1.36E+03,1.53E+03
1.19E+03,1.29E+03
1.40E+03,1.50E+03
1.26E+03,2.03E+03
1.45E+03,1.63E+03
1.16E+03,1.28E+03
1.38E+03,1.49E+03
1.49E+03,1.62E+03
1.44E+03,1.55E+03
1.53E+03,1.64E+03
1.48E+03,1.59E+03
4.99E+02,5.69E+02
9.57E+02,1.34E+03
8.00E+02,9.77E+02
8.09E+02,1.12E+03
1.14E+03,1.42E+03
1.43E+03,2.00E+03
1.41E+03,1.62E+03
1.48E+03,1.58E+03
1.21E+03,1.80E+03
1.52E+03,1.87E+03
1.14E+03,1.40E+03
1.39E+03,1.61E+03
1.02E+03,1.14E+03
1.35E+03,1.98E+03
9.24E+02,1.33E+03
1.21E+03,1.86E+03
9.68E+02,1.37E+03
1.33E+03,1.92E+03
1.11E+03,1.21E+03
1.48E+03,1.91E+03
1.55E+03,1.65E+03
1.64E+03,2.03E+03
1.48E+03,1.60E+03
1.64E+03,1.66E+03
9.51E+02,1.39E+03
4.99E+02,4.96E+02
8.29E+02,1.13E+03
8.24E+02,1.26E+03
9.00E+02,1.10E+03
1.18E+03,1.85E+03
1.00E+03,1.19E+03
1.24E+03,1.37E+03
1.13E+03,1.24E+03
1.34E+03,1.54E+03
1.19E+03,1.65E+03
1.40E+03,1.51E+03
1.21E+03,1.33E+03
1.43E+03,1.59E+03
1.14E+03,1.26E+03
1.36E+03,1.91E+03
1.06E+03,2.03E+03
1.37E+03,1.52E+03
9.55E+02,9.89E+02
1.26E+03,1.41E+03
1.55E+03,1.66E+03
1.49E+03,1.61E+03
1.50E+03,1.61E+03
1.44E+03,1.56E+03
8.00E+02,9.77E+02
8.35E+02,1.13E+03
4.99E+02,5.69E+02
9.53E+02,1.41E+03
1.18E+03,1.55E+03
1.39E+03,1.49E+03
1.20E+03,1.53E+03
1.33E+03,1.97E+03
9.87E+02,1.25E+03
1.24E+03,1.34E+03
9.00E+02,1.22E+03
1.18E+03,1.29E+03
9.24E+02,1.04E+03
1.22E+03,2.03E+03
1.01E+03,2.03E+03
1.27E+03,2.03E+03
1.18E+03,1.29E+03
1.40E+03,1.51E+03
1.27E+03,1.41E+03
1.46E+03,1.61E+03
1.45E+03,1.56E+03
1.48E+03,1.59E+03
1.49E+03,1.60E+03
1.53E+03,1.64E+03
8.09E+02,1.12E+03
8.24E+02,1.26E+03
9.48E+02,1.29E+03
4.99E+02,4.96E+02
